,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
979,"""MU""","""2304509""","""Frecheirinha (CE)""","""256854""","""268383""","""235397""","""275921"""
980,"""MU""","""2304608""","""General Sampaio (CE)""","""58853""","""69603""","""77787""","""86963"""
981,"""MU""","""2304657""","""Graça (CE)""","""104754""","""105941""","""117404""","""129711"""
982,"""MU""","""2304707""","""Granja (CE)""","""375808""","""394753""","""441906""","""469407"""
983,"""MU""","""2304806""","""Granjeiro (CE)""","""43186""","""45073""","""47139""","""51337"""
984,"""MU""","""2304905""","""Groaíras (CE)""","""80715""","""87569""","""96134""","""110755"""
985,"""MU""","""2304954""","""Guaiúba (CE)""","""204238""","""203660""","""217581""","""231993"""
986,"""MU""","""2305001""","""Guaraciaba do Norte (CE)""","""479711""","""558824""","""639798""","""669209"""
987,"""MU""","""2305100""","""Guaramiranga (CE)""","""60452""","""75218""","""71340""","""80396"""
988,"""MU""","""2305209""","""Hidrolândia (CE)""","""147647""","""153196""","""169390""","""185025"""
989,"""MU""","""2305233""","""Horizonte (CE)""","""1700086""","""1702284""","""1741190""","""2117193"""
990,"""MU""","""2305266""","""Ibaretama (CE)""","""95630""","""108664""","""124442""","""132265"""
991,"""MU""","""2305308""","""Ibiapina (CE)""","""284155""","""312411""","""337652""","""348540"""
992,"""MU""","""2305332""","""Ibicuitinga (CE)""","""89085""","""101006""","""113109""","""124951"""
993,"""MU""","""2305357""","""Icapuí (CE)""","""340166""","""357989""","""367968""","""411021"""
994,"""MU""","""2305407""","""Icó (CE)""","""564194""","""613304""","""680877""","""737489"""
995,"""MU""","""2305506""","""Iguatu (CE)""","""1617877""","""1707581""","""1747215""","""1904815"""
996,"""MU""","""2305605""","""Independência (CE)""","""241494""","""248133""","""298146""","""306809"""
997,"""MU""","""2305654""","""Ipaporanga (CE)""","""77930""","""87936""","""96699""","""114127"""
998,"""MU""","""2305704""","""Ipaumirim (CE)""","""114142""","""124285""","""134464""","""143451"""
999,"""MU""","""2305803""","""Ipu (CE)""","""399448""","""446058""","""471465""","""519845"""
1000,"""MU""","""2305902""","""Ipueiras (CE)""","""254862""","""279669""","""313673""","""328115"""
1001,"""MU""","""2306009""","""Iracema (CE)""","""142716""","""149419""","""168879""","""195282"""
1002,"""MU""","""2306108""","""Irauçuba (CE)""","""166022""","""188519""","""192415""","""220294"""
1003,"""MU""","""2306207""","""Itaiçaba (CE)""","""65923""","""69563""","""75891""","""82855"""
1004,"""MU""","""2306256""","""Itaitinga (CE)""","""700656""","""722999""","""911357""","""1258826"""
1005,"""MU""","""2306306""","""Itapajé (CE)""","""562380""","""640044""","""567838""","""594581"""
1006,"""MU""","""2306405""","""Itapipoca (CE)""","""1649739""","""1678108""","""1644837""","""1784007"""
1007,"""MU""","""2306504""","""Itapiúna (CE)""","""134424""","""145819""","""163790""","""170314"""
1008,"""MU""","""2306553""","""Itarema (CE)""","""745519""","""615078""","""694591""","""766786"""
1009,"""MU""","""2306603""","""Itatira (CE)""","""125100""","""136853""","""154347""","""174029"""
1010,"""MU""","""2306702""","""Jaguaretama (CE)""","""156217""","""170403""","""205399""","""226644"""
1011,"""MU""","""2306801""","""Jaguaribara (CE)""","""133295""","""126446""","""140727""","""154002"""
1012,"""MU""","""2306900""","""Jaguaribe (CE)""","""590674""","""510275""","""555424""","""561175"""
1013,"""MU""","""2307007""","""Jaguaruana (CE)""","""404200""","""477737""","""481688""","""566961"""
1014,"""MU""","""2307106""","""Jardim (CE)""","""210872""","""230862""","""260704""","""294154"""
1015,"""MU""","""2307205""","""Jati (CE)""","""94140""","""112635""","""119490""","""129729"""
1016,"""MU""","""2307254""","""Jijoca de Jericoacoara (CE)""","""383001""","""493501""","""379029""","""551638"""
1017,"""MU""","""2307304""","""Juazeiro do Norte (CE)""","""4815935""","""4868984""","""4827915""","""5114793"""
1018,"""MU""","""2307403""","""Jucás (CE)""","""225459""","""244408""","""275713""","""319373"""
1019,"""MU""","""2307502""","""Lavras da Mangabeira (CE)""","""260743""","""272567""","""285660""","""343304"""
1020,"""MU""","""2307601""","""Limoeiro do Norte (CE)""","""949609""","""1046182""","""1226770""","""1423366"""
1021,"""MU""","""2307635""","""Madalena (CE)""","""131492""","""141443""","""161611""","""174831"""
1022,"""MU""","""2307650""","""Maracanaú (CE)""","""10330813""","""9746884""","""10031432""","""12337017"""
1023,"""MU""","""2307700""","""Maranguape (CE)""","""1495052""","""1534351""","""1504587""","""1649528"""
1024,"""MU""","""2307809""","""Marco (CE)""","""321070""","""333499""","""346445""","""390969"""
1025,"""MU""","""2307908""","""Martinópole (CE)""","""77764""","""80276""","""89836""","""96327"""
1026,"""MU""","""2308005""","""Massapê (CE)""","""278607""","""295095""","""320552""","""378718"""
1027,"""MU""","""2308104""","""Mauriti (CE)""","""411896""","""420912""","""474650""","""517496"""
1028,"""MU""","""2308203""","""Meruoca (CE)""","""102225""","""110791""","""122359""","""129293"""
1029,"""MU""","""2308302""","""Milagres (CE)""","""231515""","""240821""","""276828""","""287223"""
1030,"""MU""","""2308351""","""Milhã (CE)""","""131295""","""140528""","""168456""","""195290"""
1031,"""MU""","""2308377""","""Miraíma (CE)""","""86346""","""91734""","""100754""","""112599"""
1032,"""MU""","""2308401""","""Missão Velha (CE)""","""490944""","""471495""","""458148""","""515937"""
1033,"""MU""","""2308500""","""Mombaça (CE)""","""332608""","""342724""","""413851""","""446847"""
1034,"""MU""","""2308609""","""Monsenhor Tabosa (CE)""","""130693""","""141197""","""149162""","""160699"""
1035,"""MU""","""2308708""","""Morada Nova (CE)""","""962455""","""1009530""","""1167792""","""1276864"""
1036,"""MU""","""2308807""","""Moraújo (CE)""","""63118""","""68677""","""72451""","""75575"""
1037,"""MU""","""2308906""","""Morrinhos (CE)""","""140940""","""162042""","""174138""","""193204"""
1038,"""MU""","""2309003""","""Mucambo (CE)""","""101369""","""107417""","""117329""","""131292"""
1039,"""MU""","""2309102""","""Mulungu (CE)""","""118694""","""106654""","""125686""","""123801"""
1040,"""MU""","""2309201""","""Nova Olinda (CE)""","""134092""","""145556""","""157789""","""163381"""
1041,"""MU""","""2309300""","""Nova Russas (CE)""","""275667""","""299307""","""310869""","""336930"""
1042,"""MU""","""2309409""","""Novo Oriente (CE)""","""204976""","""240486""","""256639""","""283185"""
1043,"""MU""","""2309458""","""Ocara (CE)""","""180596""","""199013""","""231683""","""284836"""
1044,"""MU""","""2309508""","""Orós (CE)""","""175539""","""184955""","""199602""","""218899"""
1045,"""MU""","""2309607""","""Pacajus (CE)""","""1139915""","""1147751""","""1183738""","""1360520"""
1046,"""MU""","""2309706""","""Pacatuba (CE)""","""1162125""","""1024547""","""1099201""","""1235158"""
1047,"""MU""","""2309805""","""Pacoti (CE)""","""109295""","""126746""","""136416""","""148366"""
1048,"""MU""","""2309904""","""Pacujá (CE)""","""48002""","""51024""","""55348""","""59940"""
1049,"""MU""","""2310001""","""Palhano (CE)""","""78774""","""89570""","""93529""","""98773"""
1050,"""MU""","""2310100""","""Palmácia (CE)""","""93836""","""93879""","""118148""","""115124"""
1051,"""MU""","""2310209""","""Paracuru (CE)""","""488941""","""505684""","""518432""","""555931"""
1052,"""MU""","""2310258""","""Paraipaba (CE)""","""398908""","""439699""","""488484""","""535129"""
1053,"""MU""","""2310308""","""Parambu (CE)""","""217507""","""240079""","""263486""","""288689"""
1054,"""MU""","""2310407""","""Paramoti (CE)""","""96409""","""107547""","""110773""","""110908"""
1055,"""MU""","""2310506""","""Pedra Branca (CE)""","""300170""","""332992""","""378258""","""389914"""
1056,"""MU""","""2310605""","""Penaforte (CE)""","""213846""","""112795""","""116645""","""122162"""
1057,"""MU""","""2310704""","""Pentecoste (CE)""","""412142""","""494670""","""486963""","""484760"""
1058,"""MU""","""2310803""","""Pereiro (CE)""","""313125""","""371999""","""416485""","""560571"""
1059,"""MU""","""2310852""","""Pindoretama (CE)""","""242222""","""245401""","""252609""","""274852"""
1060,"""MU""","""2310902""","""Piquet Carneiro (CE)""","""125334""","""135196""","""151868""","""162092"""
1061,"""MU""","""2310951""","""Pires Ferreira (CE)""","""59052""","""66430""","""79596""","""84230"""
1062,"""MU""","""2311009""","""Poranga (CE)""","""78795""","""89198""","""98317""","""109402"""
1063,"""MU""","""2311108""","""Porteiras (CE)""","""152389""","""157288""","""168096""","""186375"""
1064,"""MU""","""2311207""","""Potengi (CE)""","""90208""","""85166""","""107591""","""110570"""
1065,"""MU""","""2311231""","""Potiretama (CE)""","""57477""","""64353""","""87046""","""96816"""
1066,"""MU""","""2311264""","""Quiterianópolis (CE)""","""151808""","""162593""","""171901""","""184720"""
1067,"""MU""","""2311306""","""Quixadá (CE)""","""1043640""","""1005884""","""1051941""","""1109869"""
1068,"""MU""","""2311355""","""Quixelô (CE)""","""121805""","""142566""","""169836""","""198820"""
1069,"""MU""","""2311405""","""Quixeramobim (CE)""","""1072295""","""1229512""","""1185654""","""1402461"""
1070,"""MU""","""2311504""","""Quixeré (CE)""","""426547""","""400970""","""459555""","""637015"""
1071,"""MU""","""2311603""","""Redenção (CE)""","""458455""","""342557""","""386574""","""409867"""
1072,"""MU""","""2311702""","""Reriutaba (CE)""","""193940""","""176270""","""179901""","""190710"""
1073,"""MU""","""2311801""","""Russas (CE)""","""1107206""","""1100469""","""1061512""","""1158523"""
1074,"""MU""","""2311900""","""Saboeiro (CE)""","""129631""","""128686""","""151106""","""169856"""
1075,"""MU""","""2311959""","""Salitre (CE)""","""110770""","""127158""","""147599""","""159284"""
1076,"""MU""","""2312007""","""Santana do Acaraú (CE)""","""221785""","""229989""","""259124""","""280072"""
1077,"""MU""","""2312106""","""Santana do Cariri (CE)""","""123888""","""134270""","""150513""","""159277"""
1078,"""MU""","""2312205""","""Santa Quitéria (CE)""","""446749""","""502513""","""533368""","""633710"""
1079,"""MU""","""2312304""","""São Benedito (CE)""","""510877""","""543693""","""598245""","""627180"""
1080,"""MU""","""2312403""","""São Gonçalo do Amarante (CE)""","""4219743""","""3759946""","""4192888""","""8633637"""
1081,"""MU""","""2312502""","""São João do Jaguaribe (CE)""","""91304""","""94531""","""103053""","""107898"""
1082,"""MU""","""2312601""","""São Luís do Curu (CE)""","""105835""","""110167""","""117335""","""133109"""
1083,"""MU""","""2312700""","""Senador Pompeu (CE)""","""308065""","""315172""","""316498""","""352272"""
1084,"""MU""","""2312809""","""Senador Sá (CE)""","""53775""","""52134""","""59499""","""62766"""
1085,"""MU""","""2312908""","""Sobral (CE)""","""4759755""","""4585451""","""4617239""","""5395130"""
1086,"""MU""","""2313005""","""Solonópole (CE)""","""195287""","""219003""","""237756""","""303284"""
1087,"""MU""","""2313104""","""Tabuleiro do Norte (CE)""","""320805""","""368226""","""376613""","""450593"""
1088,"""MU""","""2313203""","""Tamboril (CE)""","""211770""","""239874""","""261258""","""282247"""
1089,"""MU""","""2313252""","""Tarrafas (CE)""","""62074""","""68769""","""89434""","""85682"""
1090,"""MU""","""2313302""","""Tauá (CE)""","""607574""","""662160""","""686887""","""711836"""
1091,"""MU""","""2313351""","""Tejuçuoca (CE)""","""108571""","""132655""","""134586""","""136988"""
1092,"""MU""","""2313401""","""Tianguá (CE)""","""1308985""","""1465463""","""1621108""","""1732690"""
1093,"""MU""","""2313500""","""Trairi (CE)""","""837504""","""784583""","""819135""","""1115144"""
1094,"""MU""","""2313559""","""Tururu (CE)""","""106299""","""115947""","""122644""","""138079"""
1095,"""MU""","""2313609""","""Ubajara (CE)""","""581648""","""580795""","""627784""","""642046"""
1096,"""MU""","""2313708""","""Umari (CE)""","""53744""","""56713""","""64508""","""69441"""
1097,"""MU""","""2313757""","""Umirim (CE)""","""155332""","""158100""","""160229""","""172797"""
1098,"""MU""","""2313807""","""Uruburetama (CE)""","""360013""","""295526""","""273138""","""299474"""
1099,"""MU""","""2313906""","""Uruoca (CE)""","""172187""","""177338""","""193948""","""298207"""
1100,"""MU""","""2313955""","""Varjota (CE)""","""269539""","""335906""","""359070""","""375819"""
1101,"""MU""","""2314003""","""Várzea Alegre (CE)""","""374829""","""397882""","""435622""","""468101"""
1102,"""MU""","""2314102""","""Viçosa do Ceará (CE)""","""439427""","""482265""","""545842""","""603321"""
1103,"""MU""","""2400109""","""Acari (RN)""","""124825""","""129939""","""132249""","""141994"""
1104,"""MU""","""2400208""","""Açu (RN)""","""1134910""","""1278677""","""1169390""","""1467571"""
1105,"""MU""","""2400307""","""Afonso Bezerra (RN)""","""95641""","""101916""","""138830""","""138265"""
1106,"""MU""","""2400406""","""Água Nova (RN)""","""28606""","""30474""","""33678""","""34553"""
1107,"""MU""","""2400505""","""Alexandria (RN)""","""140266""","""153813""","""156960""","""150790"""
1108,"""MU""","""2400604""","""Almino Afonso (RN)""","""39386""","""42765""","""47333""","""50062"""
1109,"""MU""","""2400703""","""Alto do Rodrigues (RN)""","""474550""","""481461""","""536154""","""616327"""
1110,"""MU""","""2400802""","""Angicos (RN)""","""142729""","""165085""","""180235""","""180166"""
1111,"""MU""","""2400901""","""Antônio Martins (RN)""","""59047""","""60365""","""62319""","""65526"""
1112,"""MU""","""2401008""","""Apodi (RN)""","""514502""","""540241""","""546245""","""709591"""
1113,"""MU""","""2401107""","""Areia Branca (RN)""","""706069""","""761984""","""717176""","""935974"""
1114,"""MU""","""2401206""","""Arês (RN)""","""448432""","""378419""","""421517""","""386634"""
1115,"""MU""","""2401305""","""Campo Grande (RN)""","""86023""","""100029""","""102741""","""105356"""
1116,"""MU""","""2401404""","""Baía Formosa (RN)""","""181360""","""222025""","""282701""","""325032"""
1117,"""MU""","""2401453""","""Baraúna (RN)""","""575271""","""642508""","""720012""","""746402"""
1118,"""MU""","""2401503""","""Barcelona (RN)""","""36031""","""40372""","""43107""","""45865"""
1119,"""MU""","""2401602""","""Bento Fernandes (RN)""","""48524""","""53810""","""53930""","""88430"""
1120,"""MU""","""2401651""","""Bodó (RN)""","""300405""","""232146""","""262311""","""286575"""
1121,"""MU""","""2401701""","""Bom Jesus (RN)""","""86170""","""92606""","""98835""","""109338"""
1122,"""MU""","""2401800""","""Brejinho (RN)""","""129109""","""142007""","""136309""","""139466"""
1123,"""MU""","""2401859""","""Caiçara do Norte (RN)""","""81841""","""86122""","""91717""","""112178"""
1124,"""MU""","""2401909""","""Caiçara do Rio do Vento (RN)""","""39826""","""43757""","""45998""","""60457"""
1125,"""MU""","""2402006""","""Caicó (RN)""","""1171343""","""1265128""","""1292651""","""1394849"""
1126,"""MU""","""2402105""","""Campo Redondo (RN)""","""86439""","""96560""","""98340""","""106968"""
1127,"""MU""","""2402204""","""Canguaretama (RN)""","""550759""","""578376""","""597286""","""605678"""
1128,"""MU""","""2402303""","""Caraúbas (RN)""","""293511""","""314828""","""321061""","""373661"""
1129,"""MU""","""2402402""","""Carnaúba dos Dantas (RN)""","""95111""","""105222""","""110989""","""118373"""
1130,"""MU""","""2402501""","""Carnaubais (RN)""","""169861""","""181406""","""161004""","""210950"""
1131,"""MU""","""2402600""","""Ceará-Mirim (RN)""","""864705""","""903775""","""956379""","""1002205"""
1132,"""MU""","""2402709""","""Cerro Corá (RN)""","""125193""","""123552""","""124224""","""140412"""
1133,"""MU""","""2402808""","""Coronel Ezequiel (RN)""","""44685""","""46723""","""49987""","""52507"""
1134,"""MU""","""2402907""","""Coronel João Pessoa (RN)""","""43640""","""42960""","""44554""","""48167"""
1135,"""MU""","""2403004""","""Cruzeta (RN)""","""103647""","""111036""","""113748""","""123142"""
1136,"""MU""","""2403103""","""Currais Novos (RN)""","""699725""","""745132""","""752944""","""804231"""
1137,"""MU""","""2403202""","""Doutor Severiano (RN)""","""62301""","""69507""","""72244""","""78557"""
1138,"""MU""","""2403251""","""Parnamirim (RN)""","""5310681""","""5615596""","""5918025""","""6845403"""
1139,"""MU""","""2403301""","""Encanto (RN)""","""46847""","""53557""","""54971""","""62293"""
1140,"""MU""","""2403400""","""Equador (RN)""","""68443""","""70092""","""70872""","""81977"""
1141,"""MU""","""2403509""","""Espírito Santo (RN)""","""81429""","""87619""","""90209""","""97586"""
1142,"""MU""","""2403608""","""Extremoz (RN)""","""416801""","""501321""","""545180""","""570425"""
1143,"""MU""","""2403707""","""Felipe Guerra (RN)""","""97009""","""101376""","""99821""","""173827"""
1144,"""MU""","""2403756""","""Fernando Pedroza (RN)""","""31578""","""34642""","""36890""","""39070"""
1145,"""MU""","""2403806""","""Florânia (RN)""","""94051""","""99265""","""109556""","""120493"""
1146,"""MU""","""2403905""","""Francisco Dantas (RN)""","""25336""","""28957""","""30370""","""32759"""
1147,"""MU""","""2404002""","""Frutuoso Gomes (RN)""","""37676""","""40626""","""41794""","""44912"""
1148,"""MU""","""2404101""","""Galinhos (RN)""","""75144""","""105461""","""89543""","""162617"""
1149,"""MU""","""2404200""","""Goianinha (RN)""","""438891""","""467568""","""516576""","""546576"""
1150,"""MU""","""2404309""","""Governador Dix-Sept Rosado (RN)""","""217477""","""250899""","""238192""","""386262"""
1151,"""MU""","""2404408""","""Grossos (RN)""","""158661""","""171513""","""145273""","""158310"""
1152,"""MU""","""2404507""","""Guamaré (RN)""","""1388429""","""1686496""","""1727729""","""2042144"""
1153,"""MU""","""2404606""","""Ielmo Marinho (RN)""","""108939""","""119445""","""127475""","""140721"""
1154,"""MU""","""2404705""","""Ipanguaçu (RN)""","""141537""","""156493""","""167528""","""196501"""
1155,"""MU""","""2404804""","""Ipueira (RN)""","""26490""","""28680""","""30017""","""34930"""
1156,"""MU""","""2404853""","""Itajá (RN)""","""73427""","""80039""","""81375""","""99445"""
1157,"""MU""","""2404903""","""Itaú (RN)""","""66145""","""69941""","""72938""","""73782"""
1158,"""MU""","""2405009""","""Jaçanã (RN)""","""66799""","""73641""","""77730""","""86390"""
1159,"""MU""","""2405108""","""Jandaíra (RN)""","""67441""","""71180""","""74634""","""101431"""
1160,"""MU""","""2405207""","""Janduís (RN)""","""65881""","""86138""","""86654""","""84499"""
1161,"""MU""","""2405306""","""Januário Cicco (RN)""","""70200""","""78747""","""82936""","""84900"""
1162,"""MU""","""2405405""","""Japi (RN)""","""40970""","""44898""","""46560""","""51548"""
1163,"""MU""","""2405504""","""Jardim de Angicos (RN)""","""27659""","""29609""","""56197""","""64392"""
1164,"""MU""","""2405603""","""Jardim de Piranhas (RN)""","""147624""","""177065""","""184222""","""213316"""
1165,"""MU""","""2405702""","""Jardim do Seridó (RN)""","""165807""","""180305""","""188404""","""207993"""
1166,"""MU""","""2405801""","""João Câmara (RN)""","""928654""","""930423""","""1091593""","""1269841"""
1167,"""MU""","""2405900""","""João Dias (RN)""","""21749""","""24159""","""26179""","""27991"""
1168,"""MU""","""2406007""","""José da Penha (RN)""","""54898""","""59111""","""61589""","""67415"""
1169,"""MU""","""2406106""","""Jucurutu (RN)""","""237927""","""257374""","""339892""","""315841"""
1170,"""MU""","""2406155""","""Jundiá (RN)""","""33359""","""37134""","""39005""","""42148"""
1171,"""MU""","""2406205""","""Lagoa d'Anta (RN)""","""60671""","""64893""","""68910""","""70839"""
1172,"""MU""","""2406304""","""Lagoa de Pedras (RN)""","""65805""","""69688""","""75055""","""81382"""
1173,"""MU""","""2406403""","""Lagoa de Velhos (RN)""","""32570""","""36237""","""36703""","""38242"""
1174,"""MU""","""2406502""","""Lagoa Nova (RN)""","""277064""","""224623""","""245743""","""269036"""
1175,"""MU""","""2406601""","""Lagoa Salgada (RN)""","""74833""","""81739""","""88211""","""94313"""
1176,"""MU""","""2406700""","""Lajes (RN)""","""128108""","""136824""","""139741""","""165930"""
1177,"""MU""","""2406809""","""Lajes Pintadas (RN)""","""41695""","""46566""","""49439""","""51595"""
1178,"""MU""","""2406908""","""Lucrécia (RN)""","""51989""","""53160""","""53078""","""51510"""
1179,"""MU""","""2407005""","""Luís Gomes (RN)""","""73669""","""80566""","""84731""","""87827"""
1180,"""MU""","""2407104""","""Macaíba (RN)""","""1651683""","""1831544""","""1700063""","""1828152"""
1181,"""MU""","""2407203""","""Macau (RN)""","""726355""","""770547""","""689600""","""1111123"""
1182,"""MU""","""2407252""","""Major Sales (RN)""","""37176""","""40660""","""43337""","""48004"""
1183,"""MU""","""2407302""","""Marcelino Vieira (RN)""","""68752""","""74778""","""77832""","""82890"""
1184,"""MU""","""2407401""","""Martins (RN)""","""89712""","""97546""","""98323""","""108195"""
1185,"""MU""","""2407500""","""Maxaranguape (RN)""","""119604""","""124979""","""133773""","""134894"""
1186,"""MU""","""2407609""","""Messias Targino (RN)""","""56230""","""59270""","""55808""","""55530"""
1187,"""MU""","""2407708""","""Montanhas (RN)""","""101487""","""113364""","""123406""","""130284"""
1188,"""MU""","""2407807""","""Monte Alegre (RN)""","""228137""","""242830""","""248770""","""271456"""
1189,"""MU""","""2407906""","""Monte das Gameleiras (RN)""","""25310""","""26195""","""28497""","""32367"""
1190,"""MU""","""2408003""","""Mossoró (RN)""","""6734570""","""7305492""","""7201163""","""8071762"""
1191,"""MU""","""2408102""","""Natal (RN)""","""23372340""","""24139377""","""22675071""","""24186262"""
1192,"""MU""","""2408201""","""Nísia Floresta (RN)""","""430498""","""434224""","""441616""","""474722"""
1193,"""MU""","""2408300""","""Nova Cruz (RN)""","""456380""","""474435""","""535376""","""560501"""
1194,"""MU""","""2408409""","""Olho d'Água do Borges (RN)""","""37918""","""49447""","""50337""","""47533"""
1195,"""MU""","""2408508""","""Ouro Branco (RN)""","""49475""","""53932""","""54573""","""61704"""
1196,"""MU""","""2408607""","""Paraná (RN)""","""33607""","""37730""","""39913""","""43932"""
1197,"""MU""","""2408706""","""Paraú (RN)""","""42766""","""47123""","""50964""","""55258"""
1198,"""MU""","""2408805""","""Parazinho (RN)""","""409064""","""333657""","""401112""","""606241"""
1199,"""MU""","""2408904""","""Parelhas (RN)""","""329474""","""343218""","""345838""","""368927"""
1200,"""MU""","""2408953""","""Rio do Fogo (RN)""","""168965""","""164958""","""173324""","""185593"""
1201,"""MU""","""2409100""","""Passa e Fica (RN)""","""111693""","""127788""","""135760""","""152324"""
1202,"""MU""","""2409209""","""Passagem (RN)""","""34907""","""35343""","""37184""","""46129"""
1203,"""MU""","""2409308""","""Patu (RN)""","""144581""","""149507""","""160280""","""160914"""
1204,"""MU""","""2409332""","""Santa Maria (RN)""","""53407""","""68313""","""67864""","""78032"""
1205,"""MU""","""2409407""","""Pau dos Ferros (RN)""","""527652""","""613781""","""629869""","""709333"""
1206,"""MU""","""2409506""","""Pedra Grande (RN)""","""214414""","""222294""","""322712""","""293285"""
1207,"""MU""","""2409605""","""Pedra Preta (RN)""","""28263""","""30189""","""31071""","""36128"""
1208,"""MU""","""2409704""","""Pedro Avelino (RN)""","""58018""","""64932""","""69771""","""79996"""
1209,"""MU""","""2409803""","""Pedro Velho (RN)""","""130815""","""150079""","""163672""","""173619"""
1210,"""MU""","""2409902""","""Pendências (RN)""","""465026""","""505195""","""476145""","""757494"""
1211,"""MU""","""2410009""","""Pilões (RN)""","""35012""","""35940""","""41533""","""41829"""
1212,"""MU""","""2410108""","""Poço Branco (RN)""","""106065""","""117504""","""131628""","""131862"""
1213,"""MU""","""2410207""","""Portalegre (RN)""","""65663""","""69679""","""70515""","""78934"""
1214,"""MU""","""2410256""","""Porto do Mangue (RN)""","""154660""","""153761""","""126576""","""149473"""
1215,"""MU""","""2410306""","""Serra Caiada (RN)""","""79916""","""89545""","""100669""","""109308"""
1216,"""MU""","""2410405""","""Pureza (RN)""","""120962""","""127799""","""138750""","""169430"""
1217,"""MU""","""2410504""","""Rafael Fernandes (RN)""","""45575""","""52651""","""50066""","""53271"""
1218,"""MU""","""2410603""","""Rafael Godeiro (RN)""","""32717""","""36459""","""39073""","""43451"""
1219,"""MU""","""2410702""","""Riacho da Cruz (RN)""","""31466""","""34419""","""35809""","""37508"""
1220,"""MU""","""2410801""","""Riacho de Santana (RN)""","""36014""","""39616""","""41117""","""43514"""
1221,"""MU""","""2410900""","""Riachuelo (RN)""","""65991""","""71128""","""89948""","""192158"""
1222,"""MU""","""2411007""","""Rodolfo Fernandes (RN)""","""45252""","""48938""","""52583""","""59194"""
1223,"""MU""","""2411056""","""Tibau (RN)""","""98723""","""107940""","""109446""","""115024"""
1224,"""MU""","""2411106""","""Ruy Barbosa (RN)""","""32109""","""35845""","""39772""","""126773"""
1225,"""MU""","""2411205""","""Santa Cruz (RN)""","""502049""","""550074""","""583899""","""619042"""
1226,"""MU""","""2411403""","""Santana do Matos (RN)""","""129756""","""137523""","""145540""","""147040"""
1227,"""MU""","""2411429""","""Santana do Seridó (RN)""","""38289""","""37313""","""35073""","""36354"""
1228,"""MU""","""2411502""","""Santo Antônio (RN)""","""250621""","""271645""","""293342""","""302537"""
1229,"""MU""","""2411601""","""São Bento do Norte (RN)""","""158935""","""365438""","""418182""","""549243"""
1230,"""MU""","""2411700""","""São Bento do Trairí (RN)""","""37290""","""42249""","""44513""","""45624"""
1231,"""MU""","""2411809""","""São Fernando (RN)""","""46657""","""52976""","""55435""","""63598"""
1232,"""MU""","""2411908""","""São Francisco do Oeste (RN)""","""46231""","""50054""","""50707""","""54448"""
1233,"""MU""","""2412005""","""São Gonçalo do Amarante (RN)""","""1582092""","""1895671""","""1744638""","""1905023"""
1234,"""MU""","""2412104""","""São João do Sabugi (RN)""","""62127""","""72974""","""77797""","""84586"""
1235,"""MU""","""2412203""","""São José de Mipibu (RN)""","""853715""","""885208""","""940688""","""1040964"""
1236,"""MU""","""2412302""","""São José do Campestre (RN)""","""99130""","""108085""","""116230""","""125093"""
1237,"""MU""","""2412401""","""São José do Seridó (RN)""","""89306""","""84542""","""79027""","""83855"""
1238,"""MU""","""2412500""","""São Miguel (RN)""","""241701""","""258995""","""277712""","""319744"""
1239,"""MU""","""2412559""","""São Miguel do Gostoso (RN)""","""280672""","""299031""","""368803""","""492640"""
1240,"""MU""","""2412609""","""São Paulo do Potengi (RN)""","""191576""","""209127""","""219980""","""231555"""
1241,"""MU""","""2412708""","""São Pedro (RN)""","""49970""","""53429""","""52646""","""55801"""
1242,"""MU""","""2412807""","""São Rafael (RN)""","""76170""","""81362""","""85177""","""88676"""
1243,"""MU""","""2412906""","""São Tomé (RN)""","""97320""","""100881""","""105842""","""111776"""
1244,"""MU""","""2413003""","""São Vicente (RN)""","""67894""","""69954""","""71371""","""76922"""
1245,"""MU""","""2413102""","""Senador Elói de Souza (RN)""","""47883""","""53090""","""54071""","""60476"""
1246,"""MU""","""2413201""","""Senador Georgino Avelino (RN)""","""126628""","""120330""","""116848""","""116487"""
1247,"""MU""","""2413300""","""Serra de São Bento (RN)""","""46294""","""51173""","""51240""","""57411"""
1248,"""MU""","""2413359""","""Serra do Mel (RN)""","""254557""","""303363""","""617353""","""858724"""
1249,"""MU""","""2413409""","""Serra Negra do Norte (RN)""","""83465""","""95592""","""98846""","""118876"""
1250,"""MU""","""2413508""","""Serrinha (RN)""","""57749""","""64213""","""66698""","""71899"""
1251,"""MU""","""2413557""","""Serrinha dos Pintos (RN)""","""39951""","""43736""","""46709""","""49787"""
1252,"""MU""","""2413607""","""Severiano Melo (RN)""","""45372""","""52995""","""59150""","""63100"""
1253,"""MU""","""2413706""","""Sítio Novo (RN)""","""43293""","""47709""","""48415""","""53784"""
1254,"""MU""","""2413805""","""Taboleiro Grande (RN)""","""26357""","""28278""","""30067""","""32473"""
1255,"""MU""","""2413904""","""Taipu (RN)""","""114950""","""127011""","""136398""","""155199"""
1256,"""MU""","""2414001""","""Tangará (RN)""","""171900""","""185503""","""192122""","""201785"""
1257,"""MU""","""2414100""","""Tenente Ananias (RN)""","""91483""","""104254""","""107122""","""113588"""
1258,"""MU""","""2414159""","""Tenente Laurentino Cruz (RN)""","""84549""","""92226""","""102889""","""107286"""
1259,"""MU""","""2414209""","""Tibau do Sul (RN)""","""373020""","""418587""","""397610""","""415833"""
