,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
64,"""MU""","""1101104""","""Itapuã do Oeste (RO)""","""173175""","""184657""","""192750""","""210031"""
65,"""MU""","""1101203""","""Ministro Andreazza (RO)""","""205983""","""216434""","""224912""","""297878"""
66,"""MU""","""1101302""","""Mirante da Serra (RO)""","""218549""","""216961""","""231662""","""262640"""
67,"""MU""","""1101401""","""Monte Negro (RO)""","""284071""","""291812""","""340931""","""389891"""
68,"""MU""","""1101435""","""Nova União (RO)""","""121109""","""117350""","""128791""","""157321"""
69,"""MU""","""1101450""","""Parecis (RO)""","""106828""","""107301""","""120815""","""155434"""
70,"""MU""","""1101468""","""Pimenteiras do Oeste (RO)""","""104550""","""116514""","""148823""","""246209"""
71,"""MU""","""1101476""","""Primavera de Rondônia (RO)""","""60540""","""61854""","""66465""","""107030"""
72,"""MU""","""1101484""","""São Felipe D'Oeste (RO)""","""89557""","""89254""","""102279""","""130676"""
73,"""MU""","""1101492""","""São Francisco do Guaporé (RO)""","""352819""","""353339""","""397745""","""488043"""
74,"""MU""","""1101500""","""Seringueiras (RO)""","""234736""","""236261""","""250586""","""332987"""
75,"""MU""","""1101559""","""Teixeirópolis (RO)""","""89190""","""92344""","""97349""","""121301"""
76,"""MU""","""1101609""","""Theobroma (RO)""","""191947""","""191524""","""213106""","""257426"""
77,"""MU""","""1101708""","""Urupá (RO)""","""217076""","""215416""","""227775""","""273501"""
78,"""MU""","""1101757""","""Vale do Anari (RO)""","""159964""","""166804""","""180702""","""220588"""
79,"""MU""","""1101807""","""Vale do Paraíso (RO)""","""150080""","""146544""","""161248""","""185648"""
80,"""MU""","""1200013""","""Acrelândia (AC)""","""253138""","""253152""","""291582""","""398725"""
81,"""MU""","""1200054""","""Assis Brasil (AC)""","""89875""","""92705""","""96315""","""133916"""
82,"""MU""","""1200104""","""Brasiléia (AC)""","""439547""","""454009""","""488072""","""685636"""
83,"""MU""","""1200138""","""Bujari (AC)""","""158191""","""159100""","""179175""","""300830"""
84,"""MU""","""1200179""","""Capixaba (AC)""","""164238""","""152806""","""144677""","""512353"""
85,"""MU""","""1200203""","""Cruzeiro do Sul (AC)""","""1401490""","""1439760""","""1793428""","""2058630"""
86,"""MU""","""1200252""","""Epitaciolândia (AC)""","""440177""","""422617""","""433585""","""644542"""
87,"""MU""","""1200302""","""Feijó (AC)""","""366052""","""362490""","""386502""","""567040"""
88,"""MU""","""1200328""","""Jordão (AC)""","""78138""","""82098""","""82867""","""113975"""
89,"""MU""","""1200336""","""Mâncio Lima (AC)""","""201048""","""205214""","""215662""","""269205"""
90,"""MU""","""1200344""","""Manoel Urbano (AC)""","""138288""","""131637""","""138414""","""184904"""
91,"""MU""","""1200351""","""Marechal Thaumaturgo (AC)""","""192055""","""194430""","""209775""","""256865"""
92,"""MU""","""1200385""","""Plácido de Castro (AC)""","""262261""","""276129""","""267420""","""601471"""
93,"""MU""","""1200393""","""Porto Walter (AC)""","""112166""","""118375""","""129394""","""160535"""
94,"""MU""","""1200401""","""Rio Branco (AC)""","""8911060""","""9130749""","""9362488""","""10955675"""
95,"""MU""","""1200427""","""Rodrigues Alves (AC)""","""187068""","""190863""","""202059""","""255649"""
96,"""MU""","""1200435""","""Santa Rosa do Purus (AC)""","""71761""","""79725""","""83424""","""108545"""
97,"""MU""","""1200450""","""Senador Guiomard (AC)""","""371144""","""360656""","""349736""","""779672"""
98,"""MU""","""1200500""","""Sena Madureira (AC)""","""520298""","""539331""","""575264""","""748094"""
99,"""MU""","""1200609""","""Tarauacá (AC)""","""487948""","""482624""","""511369""","""711884"""
100,"""MU""","""1200708""","""Xapuri (AC)""","""250235""","""274589""","""292281""","""454981"""
101,"""MU""","""1200807""","""Porto Acre (AC)""","""234946""","""226959""","""242881""","""471315"""
102,"""MU""","""1300029""","""Alvarães (AM)""","""170089""","""196154""","""194561""","""217333"""
103,"""MU""","""1300060""","""Amaturá (AM)""","""83447""","""95436""","""101934""","""118872"""
104,"""MU""","""1300086""","""Anamã (AM)""","""116719""","""125494""","""129933""","""138599"""
105,"""MU""","""1300102""","""Anori (AM)""","""218807""","""200709""","""215119""","""248435"""
106,"""MU""","""1300144""","""Apuí (AM)""","""209970""","""252677""","""271930""","""297810"""
107,"""MU""","""1300201""","""Atalaia do Norte (AM)""","""143057""","""150688""","""172713""","""184947"""
108,"""MU""","""1300300""","""Autazes (AM)""","""356934""","""388848""","""446599""","""506341"""
109,"""MU""","""1300409""","""Barcelos (AM)""","""168626""","""189996""","""208482""","""245622"""
110,"""MU""","""1300508""","""Barreirinha (AM)""","""259291""","""286580""","""313547""","""344890"""
111,"""MU""","""1300607""","""Benjamin Constant (AM)""","""310751""","""347115""","""349347""","""388781"""
112,"""MU""","""1300631""","""Beruri (AM)""","""151805""","""169892""","""182503""","""211871"""
113,"""MU""","""1300680""","""Boa Vista do Ramos (AM)""","""140055""","""146215""","""161505""","""182412"""
114,"""MU""","""1300706""","""Boca do Acre (AM)""","""415766""","""444283""","""475575""","""512796"""
115,"""MU""","""1300805""","""Borba (AM)""","""304755""","""330380""","""361457""","""402131"""
116,"""MU""","""1300839""","""Caapiranga (AM)""","""156561""","""168773""","""170630""","""177894"""
117,"""MU""","""1300904""","""Canutama (AM)""","""107991""","""121948""","""133366""","""154316"""
118,"""MU""","""1301001""","""Carauari (AM)""","""307070""","""336549""","""358945""","""370657"""
119,"""MU""","""1301100""","""Careiro (AM)""","""314629""","""340672""","""363330""","""395194"""
